公司代号,公司名字,类型,联系方式类型,联系方式
1020160616,百斯特实业（上海）有限公司,施工企业,电子邮箱,59310603@qq.com
,,,电话,021-57761229
,,,电话,13916275621
,,,电话,18930650817
1020171426,贝棱斯实业（上海）有限公司,施工企业,电子邮箱,chaijianfen@balance-power.cn
,,,电子邮箱,gordonchai@me.com
,,,电话,021-63290399
,,,电话,13918373707
1020150003,碧嬴农业科技（上海）有限公司,施工企业,电子邮箱,zzx59386358@126.com
,,,电话,021-31169798
1020173176,钹航建设工程（上海）有限公司,施工企业,电子邮箱,422353512@qq.com
,,,电话,021-64356299
1020030584,博大绿泽生态建设集团有限公司,施工企业,电话,021-52751811
,,,电话,021-52752311
,,,电话,52752311-8009
1020140787,博华建筑规划设计有限公司,施工企业,电子邮箱,345176619@qq.com
,,,电子邮箱,cxfshbh@gc-so.com
,,,电子邮箱,garywater@163.com
,,,电话,021-36556686
,,,电话,021-36556687
,,,电话,13002175177
,,,电话,021-64054977
1020171703,创朝建筑劳务（上海）有限公司,施工企业,电子邮箱,hyhy80@sohu.com
,,,电话,021-62844388
,,,电话,13818928109
1020040654,大成温调机电工程（上海）有限公司,施工企业,电子邮箱,liuxiaoya@taiseioncho.com
,,,电话,021-61430993
,,,电话,021-62806894
1020166436,大振实业（上海）有限公司,施工企业,电子邮箱,shanghai@shushi100.com
,,,电子邮箱,cxw@shushi100.com
,,,电子邮箱,shushi100@j163.com
,,,电话,021-64063517
,,,电话,021-54221018
1020171557,丹青创艺设计咨询（上海）有限公司,施工企业,电子邮箱,qiqiao@tansei.cn
,,,电子邮箱,annie@tansei.cn
,,,电子邮箱,public@tansei.cn
,,,电话,021-64861817
1020130332,电管家能源管理（上海）有限公司,施工企业,电子邮箱,zhoujie@epkeeper.com
,,,电子邮箱,licaiqin@epkeeper.com
,,,电子邮箱,greensmile@yeah.net
,,,电话,021-20965858
,,,电话,021-20919568
1020120422,东方拜尔装饰工程股份有限公司,施工企业,电子邮箱,df-buer@163.com
,,,电子邮箱,df_byer@163.com
,,,电子邮箱,y13501608282@163.com
,,,电话,021-35315100
1020171139,恩竹建设工程（上海）有限公司,施工企业,电子邮箱,enzhujianshe@126.com
,,,电话,18601691440
1020060688,国核工程有限公司,施工企业,电子邮箱,baixue2@snpec.com.cn
,,,电子邮箱,zhaobing@snpec.com.cn
,,,电子邮箱,dengming@snpec.com.cn
